Name,Username,Url,Followers,Following,Tweets,Bio,Can_DM,Location,Joined_X,Translator,Likes,BlueTick,DefaultPic,RawScore,TotalScore
False,"Calgary,2084,3012,27277,100
Toxic_guy0,https://x.com/Toxic_guy0,473,321,3763,89
lil_queincy,https://x.com/lil_queincy,82,233,55,100
izudeyforyyou,https://x.com/izudeyforyyou,184,214,2609,2899
,,184,214,2609,100
,,184,214,2609,100
,,184,214,2609,100
False,,2021,214,2609,100
JamesAwuru1,https://x.com/JamesAwuru1,952,884,174,100
juwon30,https://x.com/juwon30,209,171,912,100
Make__Money___,https://x.com/Make__Money___,1025,1664,3876,100
wale_of_lasu,https://x.com/wale_of_lasu,1728,1729,6942,89
Chocolatey_Emmy,https://x.com/Chocolatey_Emmy,573,343,515,100
Maksegz,https://x.com/Maksegz,202,545,1940,94
bjpcity7,https://x.com/bjpcity7,1979,1881,10334,89
dr_nonsky,https://x.com/dr_nonsky,9579,2935,4154,100
LanBeyioku,https://x.com/LanBeyioku,331,2587,1699,94
AgupusiV48913,https://x.com/AgupusiV48913,130,13,0,78
olayinkashika,https://x.com/olayinkashika,1134,1489,37257,100
gentle_uwaoma,https://x.com/gentle_uwaoma,513,830,3706,100
MUHAMMADTA60715,https://x.com/MUHAMMADTA60715,48,556,189,83
DannaM9702,https://x.com/DannaM9702,16,917,1,72
classicalhipsss,https://x.com/classicalhipsss,1228,1179,4424,4916
,,1228,1179,4424,100
,,1228,1179,4424,100
Peace lover, Jack of plenty trades,1228,1179,4424,100
Only1ArbitKingh,https://x.com/Only1ArbitKingh,99,125,490,100
MarshalSkaye,https://x.com/MarshalSkaye,254,490,7962,100
ChidozieIl31387,https://x.com/ChidozieIl31387,800,426,262,100
UPrecious60894,https://x.com/UPrecious60894,78,483,363,83
kingpeter9,https://x.com/kingpeter9,2189,2165,1720,100
GabbyLex5,https://x.com/GabbyLex5,155,1235,67,94
NoxVonTrinity,https://x.com/NoxVonTrinity,13,87,102,94
AyubaGwaza68203,https://x.com/AyubaGwaza68203,452,3036,256,94
AdeyemoMon13963,https://x.com/AdeyemoMon13963,26,236,195,94
d_Randomguy,https://x.com/d_Randomguy,340,1081,4438,94
olaniran_favour,https://x.com/olaniran_favour,10,26,4,78
InterstateSec,https://x.com/InterstateSec,977,636,3256,100
hashtagtweets,https://x.com/hashtagtweets,4631,3401,90386,100437
,,4631,3401,90386,100
True,Nigeria,2019,3401,90386,100
MTerhemba83452,https://x.com/MTerhemba83452,796,4488,3898,78
Bimsondinho_10,https://x.com/Bimsondinho_10,583,598,27116,100
MztaKachi001,https://x.com/MztaKachi001,113,297,10,83
Iam_dTreasure,https://x.com/Iam_dTreasure,3555,3246,429,94
akanni_himself,https://x.com/akanni_himself,104,319,2417,94
zd4evr,https://x.com/zd4evr,3540,3447,3481,100
Claudia_K15,https://x.com/Claudia_K15,9,1489,1,72
xyz_of_lagos,https://x.com/xyz_of_lagos,4470,4032,13289,100
Molts01,https://x.com/Molts01,14,222,305,78
Ifedapsi,https://x.com/Ifedapsi,1277,2717,9453,100
EkeOnuka,https://x.com/EkeOnuka,134,466,2730,94
AkposJim,https://x.com/AkposJim,5473,4029,83768,100
VEtienam42578,https://x.com/VEtienam42578,170,1304,150,94
Abimbol43594828,https://x.com/Abimbol43594828,217,666,296,94
tisleedeyt73725,https://x.com/tisleedeyt73725,361,2277,26,83
gregariousfrequ,https://x.com/gregariousfrequ,4,49,58,78
GBL988,https://x.com/GBL988,92,223,23,94
Blessin80348516,https://x.com/Blessin80348516,22,112,37,89
obinnaatuma2,https://x.com/obinnaatuma2,8,25,4,83
J2Sco,https://x.com/J2Sco,11,189,27,78
RenegadeHorsfal,https://x.com/RenegadeHorsfal,2167,4430,30702,100
fibgaya,https://x.com/fibgaya,1943,1133,33367,100
eni_ke001,https://x.com/eni_ke001,377,1926,4299,94
sherrymond10,https://x.com/sherrymond10,217,325,16,94
HighChris190429,https://x.com/HighChris190429,23,26,89,89
HardewumyJ,https://x.com/HardewumyJ,2855,2451,44066,100
my3050202321269,https://x.com/my3050202321269,3,39,1,67
Honor9790,https://x.com/Honor9790,8,847,1,72
DorcyTunez,https://x.com/DorcyTunez,2318,3792,71688,100
Frekeonairr,https://x.com/Frekeonairr,136,238,42,83
KashBoY_MoNeY,https://x.com/KashBoY_MoNeY,31,396,442,89
ik_again,https://x.com/ik_again,376,1445,6212,94
BBasmah14,https://x.com/BBasmah14,1513,1483,5298,100
AAyodele__,https://x.com/AAyodele__,3122,2395,18070,100
QueenFunkeh,https://x.com/QueenFunkeh,1354,1555,48057,100
allperfectlooks,https://x.com/allperfectlooks,75,37,542,100
TonnnyNiger,https://x.com/TonnnyNiger,300,517,12631,100
sucremummy,https://x.com/sucremummy,3317,2965,16391,100
claraojohn,https://x.com/claraojohn,5458,4342,111451,100
Shortcut_0528,https://x.com/Shortcut_0528,2,12,72,89
musa_abbak79074,https://x.com/musa_abbak79074,236,856,462,508
,,236,856,462,94
,,236,856,462,94
,,236,856,462,94
,,236,856,462,94
,,236,856,462,94
True,"Minna,236,856,462,94
komaj07sui,https://x.com/komaj07sui,2746,2780,411,94
afaith525,https://x.com/afaith525,1438,1513,1717,89
_vhickie,https://x.com/_vhickie,3024,684,1585,89
Victorexpe2841,https://x.com/Victorexpe2841,241,621,12,8
 but well discipline and self respect.",False,241,621,12,94
Shoreyyy__,https://x.com/Shoreyyy__,927,1564,9871,100
HauteCouture05,https://x.com/HauteCouture05,516,671,13441,100
RemmyIdan,https://x.com/RemmyIdan,2541,2652,5758,100
Vic3tree,https://x.com/Vic3tree,2911,1659,6239,100
Abdulgafar___,https://x.com/Abdulgafar___,2940,2870,20747,94
KingXnipez,https://x.com/KingXnipez,34,88,14,10
,,34,88,14,94
,,34,88,14,94
False,,2024,88,14,94
LW1BABY,https://x.com/LW1BABY,2301,2350,5596,100
_n13a,https://x.com/_n13a,1255,1194,1134,100
happyshopee1323,https://x.com/happyshopee1323,6,40,37,78
Hotprinceu,https://x.com/Hotprinceu,125,405,279,94
Franklyhax,https://x.com/Franklyhax,233,560,9057,100
olobayo_paul,https://x.com/olobayo_paul,360,918,1783,94
KaluOnyekachi77,https://x.com/KaluOnyekachi77,43,126,3,78
Noraah001q,https://x.com/Noraah001q,38,483,617,89
Osinachi_W,https://x.com/Osinachi_W,5235,4596,6193,6882
,,5235,4596,6193,100
True,,2019,4596,6193,100
unclejay1243,https://x.com/unclejay1243,52,84,850,100
phnxemb86499,https://x.com/phnxemb86499,121,742,0,78
iamofficialst,https://x.com/iamofficialst,521,547,491,534
False,,2023,547,491,100
thislade,https://x.com/thislade,5469,4477,43896,100
Wisdomwest23224,https://x.com/Wisdomwest23224,14,245,213,83
Neojagz7,https://x.com/Neojagz7,316,228,4064,100
AlephMSW,https://x.com/AlephMSW,257,37,5763,100
Bushavin,https://x.com/Bushavin,619,1259,328,100
KeylonVanc39486,https://x.com/KeylonVanc39486,155,1879,0,78
NzeribeAdaobi,https://x.com/NzeribeAdaobi,707,1076,2942,100
Okeoluwase21257,https://x.com/Okeoluwase21257,1,52,3,72
dideamazing,https://x.com/dideamazing,195,213,2968,89
Babymaybaby1,https://x.com/Babymaybaby1,340,597,3498,94
BuryiDmytro,https://x.com/BuryiDmytro,329,559,151,100
collinsand43187,https://x.com/collinsand43187,13,170,4,72
iniofgod,https://x.com/iniofgod,48,294,38,83
hushkay_138,https://x.com/hushkay_138,790,1181,8868,100
nems1414,https://x.com/nems1414,4471,3608,27203,100
AchemReuben1,https://x.com/AchemReuben1,117,325,20,94
Bheesisitailor,https://x.com/Bheesisitailor,427,1434,111,118
,,427,1434,111,94
,,427,1434,111,94
,,427,1434,111,94
,,427,1434,111,94
,,427,1434,111,94
