Username,URL,Followers,Following,Tweets,Raw_Score,FinalScore
realvoice49,https://x.com/realvoice49,1103,677,2833,90,100
ThomasFBerntsen,https://x.com/ThomasFBerntsen,615,1563,878,90,100
BlackBuddha1990,https://x.com/BlackBuddha1990,351,876,1323,90,100
silloh808,https://x.com/silloh808,596,1387,10237,90,100
betmore23,https://x.com/betmore23,199,276,111,90,100
tarlacrice,https://x.com/tarlacrice,2242,590,385,90,100
BruceIanni,https://x.com/BruceIanni,371,130,307,90,100
ShortersSuk,https://x.com/ShortersSuk,115,207,3554,90,100
CoddledHodler,https://x.com/CoddledHodler,165,207,2310,90,100
HayhurstSimba,https://x.com/HayhurstSimba,173,459,2099,90,100
JVoorendonk,https://x.com/JVoorendonk,355,977,842,90,100
xxDali,https://x.com/xxDali,828,690,6081,90,100
C8Stingray,https://x.com/C8Stingray,188,256,173,90,100
MattBuschB,https://x.com/MattBuschB,414,387,351,90,100
Thumper8491,https://x.com/Thumper8491,167,94,111,90,100
caruso293,https://x.com/caruso293,111,117,703,90,100
JayGill99111326,https://x.com/JayGill99111326,261,295,81,90,100
ngojaaa,https://x.com/ngojaaa,242,559,14885,90,100
suoneuvos,https://x.com/suoneuvos,277,763,444,90,100
philmycrypto,https://x.com/philmycrypto,230,555,6150,90,100
ValentinCo33130,https://x.com/ValentinCo33130,182,289,7676,90,100
ChrisS82638357,https://x.com/ChrisS82638357,42,116,225,90,100
ejjankowski,https://x.com/ejjankowski,196,341,1155,90,100
Invest_In_Best,https://x.com/Invest_In_Best,2386,240,798,90,100
nosycrypto,https://x.com/nosycrypto,73,123,329,90,100
von_Hutter,https://x.com/von_Hutter,128,94,940,90,100
korisni,https://x.com/korisni,562,719,9282,90,100
CYBERH0RNET,https://x.com/CYBERH0RNET,276,500,2819,90,100
AnsGibson,https://x.com/AnsGibson,3272,219,2898,90,100
Grieux33,https://x.com/Grieux33,152,161,272,90,100
Just_Juicers,https://x.com/Just_Juicers,192,458,878,90,100
darshan773,https://x.com/darshan773,138,266,134,90,100
_andresalles,https://x.com/_andresalles,205,503,2129,90,100
vicoence,https://x.com/vicoence,483,1128,39526,90,100
FilipPavella,https://x.com/FilipPavella,172,185,301,90,100
SnakeMuiBad,https://x.com/SnakeMuiBad,392,673,7628,90,100
pryder1a,https://x.com/pryder1a,138,67,113,90,100
Manc101,https://x.com/Manc101,620,1657,14960,90,100
phetrusrodrigue,https://x.com/phetrusrodrigue,2291,709,894,90,100
Sentine71157471,https://x.com/Sentine71157471,210,146,1805,90,100
LittleBirdz_,https://x.com/LittleBirdz_,5637,2658,32103,90,100
Tiagocastroo_,https://x.com/Tiagocastroo_,0,699,529,90,100
dumagno,https://x.com/dumagno,648,1536,19255,90,100
chrisashley71,https://x.com/chrisashley71,169,321,768,90,100
Matthewjames_4,https://x.com/Matthewjames_4,139,97,79,90,100
robertosiga,https://x.com/robertosiga,3123,4943,75578,90,100
Fork_Candles,https://x.com/Fork_Candles,274,812,3210,90,100
TigerHodl,https://x.com/TigerHodl,75,132,448,90,100
evandroagnes,https://x.com/evandroagnes,282,442,964,90,100
PaulSta60962262,https://x.com/PaulSta60962262,294,376,364,90,100
Jeff_SeuFreitas,https://x.com/Jeff_SeuFreitas,569,219,5755,90,100
ivandocabelin,https://x.com/ivandocabelin,33,82,153,90,100
iangmaia,https://x.com/iangmaia,356,876,346,90,100
oviniciusbezerr,https://x.com/oviniciusbezerr,161,176,75,90,100
ReyCesario,https://x.com/ReyCesario,297,380,510,90,100
crismagrin,https://x.com/crismagrin,174,262,89,90,100
constantinelouc,https://x.com/constantinelouc,64,151,313,90,100
ABG_Medivh,https://x.com/ABG_Medivh,100,230,172,90,100
kkushow0,https://x.com/kkushow0,60,121,1677,90,100
criptocomfe,https://x.com/criptocomfe,235,651,374,90,100
thiagoreal_sp,https://x.com/thiagoreal_sp,216,518,14180,90,100
pipedreamdefi,https://x.com/pipedreamdefi,2198,2368,8011,90,100
GratefulASP,https://x.com/GratefulASP,125,155,105,90,100
Soon_dog,https://x.com/Soon_dog,171,37,50,90,100
Corbi96404937,https://x.com/Corbi96404937,101,253,55,90,100
cryppobadger,https://x.com/cryppobadger,195,302,439,90,100
caracasmc,https://x.com/caracasmc,104,111,5677,90,100
Alexandre_sym,https://x.com/Alexandre_sym,1175,1228,15832,90,100
Burgz_Hero,https://x.com/Burgz_Hero,567,642,1624,90,100
CryptoCallejon,https://x.com/CryptoCallejon,320,374,425,90,100
Kriss_992,https://x.com/Kriss_992,302,491,297,90,100
Hunter28082204,https://x.com/Hunter28082204,190,220,1778,90,100
gerbiliciously,https://x.com/gerbiliciously,988,2325,5304,90,100
M3lyia,https://x.com/M3lyia,217,458,108,90,100
ETH001_,https://x.com/ETH001_,143,136,678,90,100
sqrt216,https://x.com/sqrt216,48,115,330,90,100
